username,followers_count,final_location,count,x_id
qa_kd7,12015,Yemen,1,2353039473
eastnitty,11992,United Kingdom,1,1239508234718900000
GerardBondeau,11991,France,3,1469748847
Ostureh313,11974,Iran,1,1502574825814080000
JoAnn_Marie,11891,Mexico,1,40606692
GuimaraesHelcio,11882,Brazil,3,1067448410805020000
rrghadi01,11845,Iran,8,298797979
sidduu96,11839,India,1,1389241184707440000
MerruX,11808,North America,2,37823448
Horaciorivashen,11806,Spain,1,951757130457076000
JL_SR2024,11805,Spain,1,70941108
midoriSW19,11801,United Kingdom,1,2566001916
sandra_miria,11764,Brazil,2,1053681848
Enter1984Art,11757,Denmark,1,1410420516285000000
zahrahp_1,11739,West Asia,1,1324148550058590000
red_loeb,11702,United Kingdom,1,749218051841810000
shamama_abbasi,11666,United Kingdom,1,460397041
